,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
1,0.0,0.0,0.0,0.0,0.0,-0.006179058576043857,0.00219780096388753,-0.6177265141541997,0.21941134131495701,-1.4708272243299017,-1.4707853331795926,4.18911503090591e-05,0.008376859539931386
2,0.01,0.0,0.0,0.0,0.0,-0.012352737601733494,0.004384541591572667,-0.6169197339812738,0.21775276180621156,-1.4709198900337361,-1.4707524076460223,0.00016748238771380206,0.01673727919330616
3,0.02,0.0,0.0,0.0,0.0,-0.01851566362159613,0.006549180383090695,-0.6155761160856229,0.21499160177056048,-1.4710742432360016,-1.47069771602859,0.00037652720741165874,0.025064844004686827
4,0.03,0.0,0.0,0.0,0.0,-0.024662475366467308,0.00868071350249372,-0.6136971834874284,0.21113256857544951,-1.4712901495876025,-1.470621534404062,0.000668615183540444,0.033343188868961024
5,0.04,0.0,0.0,0.0,0.0,-0.03078782983855142,0.010768193590655688,-0.6112850672750146,0.20618224982076763,-1.4715674212130425,-1.4705242486208476,0.0010431725921948853,0.041556023429207105
6,0.05,0.0,0.0,0.0,0.0,-0.03688640838653664,0.012800748554141803,-0.6083425054300527,0.2001491104909601,-1.4719058169235226,-1.4704063536402612,0.0014994632832614485,0.04968715694067844
7,0.06,0.0,0.0,0.0,0.0,-0.04295292276706471,0.014767600320692372,-0.6048728412679657,0.19304348910524163,-1.4723050424907265,-1.4702684526900562,0.00203658980067023,0.05772052308775708
8,0.07,0.0,0.0,0.0,0.0,-0.048982121188535135,0.016658083550639833,-0.6008800214578935,0.18487759272895707,-1.4727647509811357,-1.4701112562306156,0.0026534947505201245,0.06564020473917496
9,0.08,0.0,0.0,0.0,0.0,-0.054968794332833464,0.018461664292076546,-0.5963685935799959,0.17566549068319565,-1.473284543150676,-1.4699355807342964,0.0033489624163796083,0.07343045862491002
10,0.09,0.0,0.0,0.0,0.0,-0.06090778135012121,0.0201679585658436,-0.5913437031720206,0.16542310676656743,-1.4738639678994514,-1.4697423472785633,0.004121620620888056,0.08107573991596481
11,0.1,0.0,0.0,0.0,0.0,-0.06679397582131885,0.02176675086444625,-0.5858110902121669,0.1541682097829008,-1.4745025227862678,-1.4695325799536874,0.004969942832580454,0.0885607266857651
12,0.11,0.0,0.0,0.0,0.0,-0.07262233168236301,0.023248012546852794,-0.579777084981297,0.14192040215181623,-1.475199654602597,-1.46930740408596,0.005892250516636999,0.09587034422921581
13,0.12,0.0,0.0,0.0,0.0,-0.07838786910373434,0.024601920108834684,-0.5732486032446991,0.1287011063662169,-1.4759547600055642,-1.4690680442775643,0.006886715727999926,0.10298978921256902
14,0.13,0.0,0.0,0.0,0.0,-0.08408568031814487,0.025818873306098142,-0.5662331406919059,0.11453354905172121,-1.476767186209479,-1.4688158222644585,0.007951363945020606,0.109904553624243
15,0.14,0.0,0.0,0.0,0.0,-0.08971093538865542,0.026889513104980473,-0.5587387665725715,0.0994427423784077,-1.4776362317353502,-1.468552154593868,0.009084077141482185,0.11660044849363589
16,0.15,0.0,0.0,0.0,0.0,-0.09525888790887625,0.027804739432982728,-0.5507741164671655,0.08345546257488731,-1.4785611472177511,-1.4682785501232478,0.0102825970945033,0.12306362734185898
17,0.16,0.0,0.0,0.0,0.0,-0.10072488062630108,0.028555728698928286,-0.5423483841333144,0.06660022529903122,-1.47954113626831,-1.4679966073428639,0.011544528925446107,0.12928060932522936
18,0.17,0.0,0.0,0.0,0.0,-0.10610435097924811,0.029133951050119927,-0.5334713123719219,0.04890725762845341,-1.480575356395009,-1.4677080115244618,0.012867344870547193,0.13523830202936804
19,0.18,0.0,0.0,0.0,0.0,-0.11139283653734532,0.029531187331562174,-0.5241531828617736,0.03040846644713438,-1.4816629199763802,-1.467414531698822,0.014248388277558142,0.14092402386890748
20,0.19,0.0,0.0,0.0,0.0,-0.11658598033501211,0.02973954571016466,-0.5144048049171599,0.011137403022403257,-1.4828028952895793,-1.4671180174653664,0.015684877824212906,0.14632552604517676
21,0.2,0.0,0.0,0.0,0.0,-0.12167953608696837,0.02975147792489098,-0.5042375031299821,-0.008870776411511174,-1.4839943075912145,-1.4668203956373604,0.017173911953854093,0.15143101401185935
22,0.21,0.0,0.0,0.0,0.0,-0.12666937327445651,0.029559795122106963,-0.4936631038658549,-0.02957935422110461,-1.4852361402496927,-1.4665236667266524,0.018712473523040396,0.15622916839656348
23,0.22,0.0,0.0,0.0,0.0,-0.13155148209060097,0.029157683233950276,-0.4826939205927124,-0.05095009922033556,-1.486527335927734,-1.4662299012723092,0.020297434655424773,0.16070916532455123
24,0.23,0.0,0.0,0.0,0.0,-0.13632197823316333,0.028538717856427424,-0.4713427380302696,-0.07294331889134344,-1.4878667978135862,-1.4659412360179331,0.02192556179565308,0.16486069608959075
25,0.24,0.0,0.0,0.0,0.0,-0.14097710753288753,0.027696878583172897,-0.45962279511926385,-0.09551791603793473,-1.4892533908993553,-1.465659869942882,0.02359352095647327,0.16867398611606044
26,0.25,0.0,0.0,0.0,0.0,-0.14551325040567326,0.02662656275040829,-0.4475477668204942,-0.11863144989220711,-1.4906859433047472,-1.465388060153059,0.02529788315168835,0.17213981315608154
27,0.26,0.0,0.0,0.0,0.0,-0.1499269261169734,0.02532259854863562,-0.4351317447651658,-0.14224020165431264,-1.492163247644403,-1.465128117637382,0.027035130007020847,0.175249524665609
28,0.27,0.0,0.0,0.0,0.0,-0.15421479684708506,0.023780257457006338,-0.4223892167897288,-0.1662992444037672,-1.4936840624368908,-1.4648824028964875,0.02880165954040326,0.1779950543040914
29,0.28,0.0,0.0,0.0,0.0,-0.15837367154639362,0.021995265957135243,-0.40933504540011295,-0.19076251727831048,-1.4952471135533107,-1.4646533214506554,0.030593792102655337,0.18036893750352886
