,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
1,0.0,0.5576767188916087,-3.1142862740290878,71.32051840741929,25.44901930436739,0.6776478015214417,0.6862113726356455,-0.0595537279064649,-0.09657152552241483,1.2367387592857877,-0.24329012218245213,0.6827132287599091,0.6629738239579551,1.2367643262833101,-0.24340654952613638,-1.4800288814682399,0.008563571114203805
2,0.01,1.1940094367456244,-5.778629018224679,70.57406432220449,22.832617660989435,0.6772417548670687,0.6851419550579059,-0.03083781704442468,-0.8632151846228263,1.2435128911096314,-0.23643318445415099,0.6871663004199471,0.6476973009506609,1.2436136685503603,-0.23685326153952824,-1.4799460755637823,0.007900200190837148
3,0.02,1.9020718306006268,-7.946781723817454,69.89668778101274,20.710732547337656,0.6771316170012138,0.67641036441434,-0.0005852754521616048,-1.4876497584672024,1.2502844274668217,-0.22962525914729198,0.6916835597168929,0.6325045667564538,1.250507866246338,-0.23045232421100614,-1.4799096866141137,-0.0007212525868738329
4,0.03,2.675245959108341,-9.61318576901723,69.28121605473275,19.088496903670638,0.6773308516625716,0.6614398664720932,0.030590947150880277,-1.9681450439013,1.2570563979845155,-0.22293585358342438,0.6962604975765675,0.6174008652508175,1.25744753866837,-0.22420287342731493,-1.4799922515679398,-0.01589098519047838
5,0.04,3.507250791886196,-10.802866140397816,68.72078663672083,17.94060324995801,0.6778466314768569,0.6416708565890867,0.06219155235425282,-2.311726620102019,1.2638319357041974,-0.21642015648537669,0.7008926487463394,0.6023914272277207,1.2644332602366664,-0.21810399269156422,-1.480252092189574,-0.03617577488777013
6,0.05,4.392114014100579,-11.562113356586167,68.20883069955192,17.220604328428628,0.6786812608626793,0.6184732764668374,0.09385095216020208,-2.5315174317070466,1.27061422081839,-0.2101193045595929,0.7055755980859906,0.5874814581587208,1.2714655609642747,-0.2121547133154298,-1.4807335253779828,-0.06020798439584196
7,0.06,5.324104466768864,-11.950301092211301,67.73901426624471,16.86907417278743,0.6798336959576878,0.5930856361853072,0.12533658528571065,-2.6444005539693953,1.2774064392948261,-0.20406139191907843,0.7103049867384811,0.5726761262007243,1.2785449269891709,-0.20635401473257042,-1.4814678312139045,-0.08674805977238065
8,0.07,6.297645309090871,-12.033038057977752,67.30515713780507,16.820433928662432,0.6813009615372702,0.5665774266505804,0.15653158410884613,-2.6690601412511326,1.2842117563434736,-0.19826297236312865,0.715076518150935,0.5579805505088596,1.2856718011673358,-0.20070082493048602,-1.4824747287066022,-0.11472353488668974
9,0.08,7.307226084970209,-11.87672355914473,66.90114808214956,17.008375010790537,0.6830793189477399,0.5398311354214729,0.1874071186534978,-2.6244213730927526,1.2910333029311727,-0.19273083953606907,0.719885963917524,0.5433997899083407,1.2928465837251686,-0.1951940209974996,-1.4837641424672416,-0.143248183526267
10,0.09,8.347327361780588,-11.544472920816117,66.52087051936819,17.369914655242518,0.6851651067681016,0.513539869966938,0.21799087743168505,-2.5284809692492374,1.2978741724209062,-0.18746390890102496,0.7247291694174672,0.5289388319762042,1.3000696329693282,-0.1898324297810059,-1.485338081321931,-0.1716252368011636
